Time - Voltage	Amplitude - Voltage
404	0,102434
405	0,102009
406	0,101223
407	0,100676
408	0,10049
409	0,100227
410	0,10055
411	0,101037
412	0,101148
413	0,100204
414	0,0996384
415	0,0994146
416	0,0989636
417	0,0987382
418	0,0984669
419	0,0983983
420	0,0982088
421	0,0981745
422	0,0975765
423	0,0971925
424	0,0971402
425	0,0967023
426	0,0960472
427	0,0952515
428	0,0947858
429	0,0945244
430	0,0942368
431	0,0940881
432	0,0941747
433	0,0941094
434	0,094031
435	0,093727
436	0,0935163
437	0,092701
438	0,0918481
439	0,0913563
440	0,0908694
441	0,0909527
442	0,0907289
443	0,0899185
444	0,0890917
445	0,0882634
446	0,0873958
447	0,086373
448	0,085891
449	0,0850152
450	0,0845446
451	0,0841558
452	0,0832
453	0,0822948
454	0,0814174
455	0,0804812
456	0,0800335
457	0,0792688
458	0,078416
459	0,077367
460	0,076586
461	0,0757201
462	0,0750306
463	0,0743394
464	0,0735225
465	0,0732219
466	0,0728526
467	0,0725863
468	0,0720651
469	0,0722121
470	0,0722628
471	0,0719131
472	0,0720112
473	0,072467
474	0,0727823
475	0,0731075
476	0,0732676
477	0,0731516
478	0,0735829
479	0,0738525
480	0,0743019
481	0,0745077
482	0,0750289
483	0,0756237
484	0,0766612
485	0,0772004
486	0,077715
487	0,0777216
488	0,0773294
489	0,0768589
490	0,0767461
491	0,0770468
492	0,0768883
493	0,0772167
494	0,0771513
495	0,0769504
496	0,0765027
497	0,0762527
498	0,075957
499	0,0757005
500	0,0765207
501	0,0772984
502	0,0777101
503	0,0786431
504	0,0786807
505	0,0788538
506	0,0790091
507	0,0790548
508	0,0791594
509	0,0794845
510	0,079728
511	0,0798914
512	0,0802998
513	0,0810465
514	0,0822588
515	0,0832081
516	0,083731
517	0,0843764
518	0,0857047
519	0,0868909
520	0,0879774
521	0,088613
522	0,0887535
523	0,0896701
524	0,0904528
525	0,0912599
526	0,092268
527	0,0927451
528	0,0930833
529	0,0935097
530	0,0936878
531	0,0935457
532	0,093428
