Time - Voltage	Amplitude - Voltage
395	-4,20991
396	-4,20444
397	-4,20608
398	-4,20061
399	-4,20401
400	-4,19856
401	-4,19828
402	-4,1929
403	-4,19387
404	-4,18855
405	-4,18975
406	-4,18448
407	-4,18353
408	-4,17827
409	-4,18223
410	-4,17699
411	-4,17759
412	-4,17242
413	-4,17533
414	-4,17022
415	-4,16983
416	-4,16483
417	-4,16526
418	-4,16035
419	-4,16128
420	-4,1564
421	-4,15953
422	-4,15475
423	-4,15528
424	-4,15058
425	-4,15189
426	-4,14725
427	-4,14896
428	-4,14437
429	-4,14824
430	-4,14368
431	-4,14074
432	-4,13622
433	-4,13414
434	-4,12969
435	-4,12933
436	-4,12498
437	-4,12435
438	-4,1201
439	-4,11877
440	-4,11458
441	-4,11298
442	-4,1088
443	-4,1059
444	-4,10176
445	-4,09833
446	-4,09425
447	-4,09163
448	-4,08757
449	-4,084
450	-4,08004
451	-4,07706
452	-4,07319
453	-4,07157
454	-4,06781
455	-4,06782
456	-4,06417
457	-4,06183
458	-4,05831
459	-4,05873
460	-4,05535
461	-4,05588
462	-4,05259
463	-4,05324
464	-4,04999
465	-4,05056
466	-4,04736
467	-4,04584
468	-4,04269
469	-4,03864
470	-4,03552
471	-4,03112
472	-4,028
473	-4,0263
474	-4,02318
475	-4,0216
476	-4,01849
477	-4,01828
478	-4,01518
479	-4,00927
480	-4,0062
481	-4,00193
482	-3,99889
483	-3,99464
484	-3,99164
485	-3,9892
486	-3,98621
487	-3,98356
488	-3,98058
489	-3,9794
490	-3,97642
491	-3,97322
492	-3,97024
493	-3,9684
494	-3,9654
495	-3,96091
496	-3,95791
497	-3,95562
498	-3,95262
499	-3,94713
500	-3,94414
501	-3,93826
502	-3,93526
503	-3,93288
504	-3,92985
505	-3,9242
506	-3,92114
507	-3,91572
508	-3,91264
509	-3,90754
510	-3,90445
511	-3,89808
512	-3,895
513	-3,88991
514	-3,88683
515	-3,88595
516	-3,88289
517	-3,88353
518	-3,88045
519	-3,87262
520	-3,86953
521	-3,86555
522	-3,86247
523	-3,8598
524	-3,85674
525	-3,85029
526	-3,84725
527	-3,84378
528	-3,84073
529	-3,83573
530	-3,83276
531	-3,83005
532	-3,82716
533	-3,82354
534	-3,82072
535	-3,81892
536	-3,81623
537	-3,81079
538	-3,80813
539	-3,80459
540	-3,80197
541	-3,79742
542	-3,79484
543	-3,78941
544	-3,78685
545	-3,78518
546	-3,78265
547	-3,77879
548	-3,77625
549	-3,77197
550	-3,76943
551	-3,76496
552	-3,76244
553	-3,76101
554	-3,75849
555	-3,75529
556	-3,75278
557	-3,75042
558	-3,74794
559	-3,74546
560	-3,74302
561	-3,73618
562	-3,73378
563	-3,72557
564	-3,72322
565	-3,71906
566	-3,71675
567	-3,71351
568	-3,71121
569	-3,70833
570	-3,70606
571	-3,70344
572	-3,70123
573	-3,69859
574	-3,69639
575	-3,69163
576	-3,68947
577	-3,68623
578	-3,6841
579	-3,68161
580	-3,6795
581	-3,67272
582	-3,67067
583	-3,66899
584	-3,66705
585	-3,66292
586	-3,66107
587	-3,65686
588	-3,6551
589	-3,65212
590	-3,65039
591	-3,64967
592	-3,64798
593	-3,64463
594	-3,64303
595	-3,63948
596	-3,63789
597	-3,63483
598	-3,63328
599	-3,62962
600	-3,62809
601	-3,62555
602	-3,62404
603	-3,61943
604	-3,61796
605	-3,61286
606	-3,61142
607	-3,60731
608	-3,60597
609	-3,60039
610	-3,59906
611	-3,59571
612	-3,5944
613	-3,58832
614	-3,58702
615	-3,58108
616	-3,57978
617	-3,57349
618	-3,5722
619	-3,56559
